link, code, name
https://eu.idtdna.com/site/Catalog/Modifications/Product/2793,52FG,5' Fluoro G
https://eu.idtdna.com/site/Catalog/Modifications/Product/2835,5InvddT,5' Inverted Dideoxy-T
https://eu.idtdna.com/site/Catalog/Modifications/Product/2862,5Hexynyl,5'  Hexynyl
https://eu.idtdna.com/site/Catalog/Modifications/Product/3036,5TYE705,5' TYE 705
https://eu.idtdna.com/site/Catalog/Modifications/Product/3037,5IRD800CWN,5'  IRDye® 800CW (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3052,5TEX615,5' TEX 615
https://eu.idtdna.com/site/Catalog/Modifications/Product/3069,55OctdU,5' 5-Octadiynyl dU
https://eu.idtdna.com/site/Catalog/Modifications/Product/3770,5AzideN,5' Azide  (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3773,5BioK,5' Biotin (Azide)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3809,55-TAMK,5' 5-TAMRA™ (Azide)
https://eu.idtdna.com/site/Catalog/Modifications/Product/3812,56-FAMK,5' 6-FAM (Azide)
https://eu.idtdna.com/site/Catalog/Modifications/Product/5642,55HydMe-dC,5' Hydroxymethyl dC
https://eu.idtdna.com/site/Catalog/Modifications/Product/5643,5IABkFQ,5' Iowa Black&reg FQ
https://eu.idtdna.com/site/Catalog/Modifications/Product/5982,5ATTO647NN,5' ATTO™ 647N (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/5983,5ATTO532N,5' ATTO™ 532 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/7658,5ATTO590N,5' ATTO™ 590 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/7659,5RHO101N,5' ATTO™ Rho101 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/8859,5BiotinTEG,5' Biotin-TEG
https://eu.idtdna.com/site/Catalog/Modifications/Product/9294,5ATTO550N,5' ATTO™ 550 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/9295,5ATTO565N,5' ATTO™ 565 (NHS Ester)
